GAME_DATE_EST,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
4290,2022,113.0,0.592,0.905,0.385,24.0,43.0,109.0,0.424,0.818,0.286,23.0,33.0,1
4290,2022,120.0,0.542,0.81,0.433,30.0,38.0,116.0,0.495,0.875,0.345,21.0,38.0,1
4290,2022,95.0,0.43,0.773,0.333,20.0,36.0,106.0,0.53,0.625,0.485,21.0,38.0,0
4290,2022,133.0,0.533,0.864,0.45,30.0,42.0,122.0,0.5,0.767,0.355,29.0,37.0,1
4290,2022,114.0,0.484,0.531,0.281,30.0,48.0,103.0,0.4,0.741,0.314,23.0,47.0,1
4290,2022,128.0,0.511,0.8,0.296,27.0,44.0,117.0,0.5,0.692,0.5,30.0,37.0,1
4290,2022,108.0,0.433,0.708,0.295,22.0,40.0,118.0,0.532,0.769,0.4,30.0,44.0,0
4290,2022,105.0,0.466,0.417,0.325,21.0,43.0,106.0,0.437,0.826,0.344,27.0,51.0,0
4289,2022,115.0,0.511,0.786,0.375,24.0,43.0,110.0,0.463,0.905,0.472,24.0,43.0,1
4289,2022,118.0,0.554,0.867,0.361,25.0,38.0,109.0,0.449,0.733,0.345,23.0,42.0,1
4289,2022,120.0,0.484,1.0,0.4,30.0,38.0,121.0,0.516,0.682,0.4,28.0,48.0,0
4288,2022,116.0,0.421,0.903,0.286,20.0,53.0,111.0,0.411,0.692,0.366,26.0,53.0,1
4288,2022,122.0,0.57,0.75,0.387,33.0,39.0,116.0,0.534,0.522,0.417,25.0,40.0,1
4288,2022,113.0,0.446,0.917,0.472,26.0,55.0,89.0,0.376,0.792,0.167,16.0,39.0,1
4288,2022,126.0,0.443,0.833,0.279,25.0,54.0,113.0,0.425,0.914,0.212,16.0,46.0,1
4288,2022,115.0,0.5,0.882,0.435,29.0,41.0,111.0,0.488,0.69,0.29,22.0,38.0,1
4288,2022,123.0,0.511,0.813,0.368,32.0,50.0,102.0,0.37,0.87,0.368,25.0,48.0,1
4288,2022,126.0,0.479,0.833,0.424,34.0,50.0,113.0,0.473,0.938,0.316,19.0,40.0,1
4288,2022,121.0,0.473,0.926,0.348,25.0,51.0,115.0,0.481,0.75,0.452,22.0,31.0,1
4288,2022,104.0,0.459,0.783,0.296,21.0,50.0,98.0,0.389,0.813,0.357,17.0,42.0,1
4288,2022,124.0,0.535,0.81,0.429,26.0,40.0,123.0,0.459,0.76,0.333,26.0,42.0,1
4288,2022,98.0,0.398,0.842,0.25,19.0,49.0,125.0,0.485,0.846,0.356,29.0,53.0,0
4287,2022,116.0,0.516,0.765,0.259,25.0,44.0,102.0,0.427,0.833,0.167,16.0,43.0,1
4287,2022,96.0,0.429,0.769,0.313,21.0,40.0,116.0,0.494,0.733,0.463,27.0,40.0,0
4287,2022,115.0,0.513,0.786,0.406,30.0,36.0,116.0,0.5,0.871,0.472,27.0,35.0,0
4286,2022,117.0,0.48,0.647,0.353,29.0,49.0,119.0,0.484,0.667,0.417,30.0,47.0,0
4286,2022,102.0,0.366,0.897,0.25,21.0,52.0,109.0,0.447,0.769,0.325,31.0,45.0,0
4286,2022,114.0,0.431,0.765,0.342,24.0,54.0,121.0,0.453,0.958,0.353,25.0,49.0,0
4286,2022,110.0,0.459,0.733,0.357,19.0,46.0,116.0,0.489,0.714,0.361,27.0,49.0,0
4286,2022,132.0,0.447,0.773,0.359,19.0,51.0,123.0,0.448,0.778,0.472,23.0,39.0,1
4286,2022,101.0,0.467,1.0,0.25,23.0,41.0,93.0,0.392,0.773,0.35,23.0,45.0,1
4286,2022,130.0,0.524,0.846,0.488,23.0,41.0,111.0,0.44,0.692,0.351,28.0,41.0,1
4286,2022,104.0,0.404,0.789,0.295,26.0,47.0,112.0,0.478,0.611,0.385,26.0,47.0,0
4285,2022,121.0,0.506,0.778,0.423,29.0,36.0,106.0,0.506,0.667,0.258,24.0,43.0,1
4285,2022,95.0,0.437,0.722,0.194,19.0,40.0,133.0,0.521,0.8,0.514,38.0,45.0,0
4285,2022,92.0,0.405,0.682,0.346,17.0,45.0,103.0,0.432,0.9,0.395,18.0,48.0,0
4285,2022,112.0,0.44,0.833,0.371,26.0,39.0,122.0,0.467,0.724,0.429,28.0,46.0,0
4285,2022,92.0,0.407,0.81,0.172,17.0,54.0,81.0,0.349,0.75,0.229,17.0,39.0,1
4285,2022,119.0,0.467,0.733,0.256,24.0,44.0,130.0,0.542,0.727,0.385,34.0,51.0,0
4285,2022,110.0,0.465,0.895,0.302,30.0,46.0,101.0,0.442,0.842,0.36,17.0,39.0,1
4285,2022,116.0,0.488,0.682,0.425,32.0,45.0,100.0,0.44,0.833,0.303,22.0,44.0,1
